id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
1,IL,Amboy BTK,2010,Btk,24BIUx2,54.1,99,0.76,0.39,0.84,1,1,12.28,59.24,26.62,0,0
2,IL,Coal City BTK,2010,Btk,24BIUx2,41.5,203,1,1,1,1,1,0,0,0,0,0
3,IL,Franklin Grove MD,2010,MD,6g,42.2,541,1,1,1,1,0.97,0.01,0.20,0,0,1.48
4,IL,Lena (MD) 7,2010,Btk,24BIUx2,12.3,430,0.80,1,1,1,0.95,0.98,0,0,0,0.37
5,IL,Lena BTK 1,2010,Btk,24BIUx2,12.5,103,0.64,1,1,1,0.97,2.34,0,0,0,0.27
6,IL,Lena BTK 2,2010,Btk,24BIUx2,17.6,2,,,,,,,,,,
7,IL,Lena BTK 3,2010,Btk,24BIUx2,17.8,11,0.67,1,0.94,1,0.99,9.36,0.09,1.79,0,0.30
8,IL,Lena BTK 4,2010,Btk,24BIUx2,17.8,17,0.80,0.98,0.94,1,1,18.80,1.54,5.40,0,0.31
9,IL,Lena BTK 5,2010,Btk,24BIUx2,15,80,-0.11,0.96,1,1,-0.16,4.64,0.19,0,0,11.72
10,IL,Lena BTK 6,2010,Btk,24BIUx2,14.4,48,0.02,1,1,1,0.81,5.96,0,0.03,0,2.91
11,IL,Loran BTK,2010,Btk,24BIUx2,32.6,8,,,,,,,,,,
12,IL,Menominee MD,2010,MD,6g,43.3,1224,0.99,0.97,1,1,1,0.16,0.82,0.01,0,0
13,IL,Newark BTK 1,2010,Btk,24BIUx2,34.4,64,0.85,0.99,0.99,1,1,2.78,0.12,0.13,0,0
14,IL,Newark BTK 2,2010,Btk,24BIUx2,35.6,34,,,,,,,,,,
15,IL,Newark BTK 3,2010,Btk,24BIUx2,34.1,16,0.90,0.99,0.99,1,1,1.05,0.08,0.09,0,0
16,IL,Newark BTK 4,2010,Btk,24BIUx2,38.7,45,0.85,0.23,0.89,1,1,2.09,10.84,1.73,0,
17,IL,Newark BTK 5,2010,Btk,24BIUx2,37.7,8,0.99,0.91,0.81,1,1,0.34,2.38,4.79,0,
18,IL,Park Forest BTK,2010,Btk,24BIUx2,11.4,1886,0.90,0.99,-4.91,1,-1.31,0.08,0.01,5.12,0,2.57
19,IL,Park Forest MD,2010,MD,6g,13.7,1049,0.94,1,0.80,1,0.90,0.08,0,0.29,0,0.22
20,IL,Park Forest MD2,2010,MD,6g,13.2,115,0.89,1,-3.87,1,0.65,0.08,0,3.49,0,0.36
21,IL,Plano,2010,Btk,24BIUx2,21.9,158,0.95,0.92,0.72,0.82,0.95,0.43,0.65,2.33,1.52,0.39
22,IL,Rock City,2010,Btk,24BIUx2,-3,8,,,,,,,,,,
23,IL,Rockford BTK,2010,Btk,24BIUx2,-12.9,49,0.81,0.97,1,0.88,0.92,2.42,0.40,0,1.46,1.06
24,IL,Romeoville BTK,2010,Btk,24BIUx2,-0.3,286,0.87,0.84,0.74,0.41,0.75,0.54,0.66,1.06,2.43,1.04
25,IL,Sheridan BTK,2010,Btk,24BIUx2,38.9,110,0.99,0.96,1,1,1,0.27,1.62,0,0,0
26,IL,Stillman Valley BTK 1,2010,Btk,24BIUx2,10.6,59,0.87,0.99,1,1,1,1.83,0.17,0,0,0
27,IL,Stillman Valley BTK 2,2010,Btk,24BIUx2,10.2,59,0.88,0.98,1,1,1,0.80,0.16,0,0,0
28,IL,Wilmington MD,2010,MD,6g,33.8,591,0.98,0.36,1,1,1,0.06,2.11,0,0,0
29,IN,Aboite-1,2010,Btk,25BIUx2,-2.2,988,0.82,0.85,0.95,0.92,0.98,0.70,0.56,0.19,0.32,0.06
30,IN,Aboite-2,2010,Btk,25BIUx2,-3.3,1084,0.42,0.87,0.72,0.87,0.96,0.84,0.19,0.40,0.19,0.05
31,IN,Aboite-3,2010,Btk,25BIUx2,-6.2,808,0.66,0.92,0.52,0.95,0.97,1.28,0.29,1.79,0.20,0.10
32,IN,Aboite-4,2010,Btk,25BIUx2,-3.8,1505,0.55,0.81,0.21,0.92,0.91,2,0.84,3.51,0.34,0.40
33,IN,Hobart-MD1,2010,MD,6g,3.7,1083,0.94,0.87,1,1,0.45,0.13,0.31,0,0,1.29
34,IN,Hobart-MD2,2010,MD,6g,1.8,935,0.97,0.96,1,1,0.95,0.05,0.07,0,0,0.09
35,IN,Hobart-MD3,2010,MD,6g,3.8,743,0.99,0.93,0.68,1,1,0.02,0.15,0.67,0,0
36,IN,Hobart-MD4,2010,MD,6g,4.7,889,0.94,0.86,0.94,0.83,0.88,0.18,0.39,0.17,0.48,0.33
37,IN,Lagro-1,2010,MD,6g,14.4,2178,1,1,-0.78,0.80,0.99,0,0,6.13,0.70,0.03
38,IN,Lagro-2,2010,MD,6g,20,4415,1,1,0.62,0.81,0.83,0.02,0,1.27,0.64,0.56
39,IN,Lagro-3,2010,MD,6g,27.1,3370,0.93,0.99,0.97,0.69,0.97,0.29,0.08,0.14,1.26,0.10
40,IN,Lagro-4,2010,MD,6g,31.3,1852,0.78,0.99,1,0.68,0.90,1.33,0.16,0,1.91,0.62
41,IN,Lagro-5,2010,MD,6g,38.1,1228,1,1,1,0.27,1,0,0,0,4.14,0
42,IN,Leesburg-1,2010,Btk,25BIUx2,-4.2,224,0.71,1,0.83,0.99,0.87,0.55,0,0.32,0.03,0.25
43,IN,Leesburg-2,2010,Btk,25BIUx2,-4.3,316,0.88,0.96,0.79,0.98,0.96,0.27,0.10,0.50,0.04,0.11
44,IN,Leesburg-3,2010,Btk,25BIUx2,-2.8,19,,,,,,,,,,
45,IN,Leesburg-4,2010,Btk,25BIUx2,-2.8,26,0.70,0.36,0.66,0.97,0.81,0.70,1.48,0.79,0.06,0.44
46,IN,Leesburg-5,2010,Btk,25BIUx2,-2.8,53,0.82,0.41,0.93,0.99,0.98,1.64,5.43,0.60,0.05,0.15
47,IN,Leesburg-6,2010,Btk,25BIUx2,-2.1,16,,,,,,,,,,
48,IN,Leesburg-7,2010,Btk,25BIUx2,-2.2,36,0.86,-0.08,0.94,0.99,0.94,0.84,6.40,0.33,0.06,0.37
49,IN,Tippecanoe,2010,MD,6g,16.4,565,0.99,0.97,1,0.96,1,0.16,0.43,0,0.61,0
50,MN,Clover Valley School,2010,Btk-MD,24BIUx2,15.2,351,0.98,0.96,0.99,0.76,0.93,0.06,0.13,0.03,0.74,0.22
51,MN,Finland,2010,Btk,24BIUx2,-6.9,540,0.91,0.27,-1.42,-0.44,0.63,0.18,1.38,4.56,2.70,0.71
52,MN,Knife River,2010,MD,6g,15.1,51842,0.95,0.93,0.85,0.78,0.76,0.19,0.29,0.58,0.85,0.93
53,MN,Legler Lake,2010,MD,6g,8.4,46851,0.97,0.92,0.77,0.54,0.83,0.04,0.11,0.30,0.59,0.22
54,MN,Ninemile Lake,2010,Btk,24BIUx2,-6.5,1285,0.83,0.45,-0.43,0.30,0.13,0.18,0.60,1.55,0.76,0.95
55,NC,Corolla,2010,MD,6g,74.5,3461,-0.60,0.59,-2.27,-4.69,0.73,0.17,0.04,0.34,0.60,0.03
56,NC,False Cape,2010,NPV,5x10^12,68.7,240,0.43,0.52,-1.98,-0.02,0.88,0.60,0.50,3.12,1.07,0.13
57,NC,Hubert,2010,NPV,5x10^12,257.6,399,0.23,0.75,0.98,1,0.69,6.76,2.17,0.16,,3.87
58,NC,Jarvisburg,2010,Btk,25BIUx2,103.8,1491,0.78,0.51,0.89,0.51,1,1.62,7.38,0.79,7.25,0
59,NC,Macon,2010,Btk,25BIUx2,47.5,522,0.72,0.82,0.95,0.99,0.66,6.68,6.09,0.60,0.16,12.34
60,NC,Ringgold,2010,Btk,25BIUx2,18.5,1863,0.99,0.97,0.69,0.98,0.99,0.13,0.37,3.67,0.22,0.13
61,NC,Southeast Goldsboro,2010,Btk,25BIUx2,162.2,297,1,1,,1,,,,,0,
62,OH,Alger BTK,2010,Btk,24BIUx2,70.3,29,0.99,0.96,0.75,0.67,0.94,0.03,0.12,0.72,0.93,0.18
63,OH,Bellefontaine MD,2010,MD,6g,89.7,11594,0.91,0.97,0.80,0.95,0.48,0.20,0.08,0.44,0.11,1.12
64,OH,Big Plain A BTK,2010,Btk,24BIUx2,81.7,25,0.73,0.88,1,1,0.71,2.25,1.06,0,0,2.42
65,OH,Big Plain B BTK,2010,Btk,24BIUx2,83.4,19,,,,,,,,,,
66,OH,Circleville BTK,2010,Btk-MD,24BIUx1,74.6,694,0.98,0.88,1,0.93,1,0.68,4.67,0.01,2.65,0.02
67,OH,Circleville MD,2010,MD,6g,74.5,17359,0.86,0.76,0.99,0.87,0.92,1,1.73,0.06,0.92,0.56
68,OH,Clifton A BTK,2010,Btk,24BIUx2,121.1,161,-0.19,1,1,0.97,-0.39,6.46,0,0,0.18,8.84
69,OH,Clifton B BTK,2010,Btk,24BIUx2,122.7,105,-18.49,1,1,1,-5.69,37.79,0,0,0,13.62
70,OH,Clifton C BTK,2010,Btk,24BIUx2,123.9,33,,,,,,,,,,
71,OH,East Liberty A NPV,2010,NPV-MD,5x10^11,76.5,268,0.98,0.96,0.99,0.97,1,0.36,0.64,0.10,0.43,0
72,OH,East Liberty B NPV,2010,NPV-MD,5x10^11,77.5,138,0.97,0.94,0.17,0.98,1,0.94,2.10,27.75,0.61,0
73,OH,East Liberty C NPV,2010,NPV-MD,5x10^11,76.3,374,0.98,1,0.98,0.99,1,0.55,0.08,0.42,0.30,0
74,OH,East Liberty D NPV,2010,NPV-MD,5x10^11,74.8,146,0.98,1,0.98,0.98,0.41,0.08,0,0.08,0.08,2.78
75,OH,East Liberty MD,2010,MD,6g,73.2,28000,0.95,0.94,0.85,0.81,0.14,0.19,0.22,0.59,0.76,4.40
