"OBJECTID.x","ACRES","RANK","TRTCODE","PROGRAM","ID","BLOCKNAME","DOSAGE","LIFESTAGES","PPA","NOTES","STATE","YEAR.x","TREATMENT_","TREAT_ACRE","NLCD_ACRES","PROJECT.x","DATE_TREAT","ACRES_TREA","SECOND_DAT","SECOND_ACR","ARCHIVETRE","DISTANCE","ARCHIVE_DA","OBJECTID.y","PRIORITY_I","RECOMMEND","YEAR.y","PROJECT.y"
"3609","441","0","2","Suppression","VA_503-07","Nettle Hollow B","25BIUx2","N/A","VA_503",NA,"VA","2007","Btk",440,"334",NA,NA,NA,NA,NA,1.7830503557076,"-93123",NA,NA,NA,NA,NA,NA
"3610","1047","3","1","STS","IL_016-03","State Line MD","6g","N/A","IL_016",NA,"IL","2007","MD",928,"432",NA,NA,NA,NA,NA,4.23702085731742,"-19660",NA,NA,NA,NA,NA,NA
"3611","191","3","2","STS","IL_027-02","Woodridge","24BIUx2","N/A","IL_027",NA,"IL","2007","Btk",191,"144",NA,NA,NA,NA,NA,0.774729100803536,"-4189",NA,NA,NA,NA,NA,NA
"3612","269","0","2","STS","IL_090-01","Lisle","24BIUx2","N/A","IL_090",NA,"IL","2007","Btk",269,"217",NA,NA,NA,NA,NA,1.08866087591945,"-9807",NA,NA,NA,NA,NA,NA
"3613","77","3","2","STS","IL_074-01","Rockford Btk","24BIUx2","N/A","IL_074",NA,"IL","2007","Btk",77,"61",NA,NA,NA,NA,NA,0.312642855008257,"-12080",NA,NA,NA,NA,NA,NA
"3614","355","0","2","STS","OH_100-01","Rutland07a","38BIUx1","N/A","OH_100","OH_100-01","OH","2007","Btk",355,"273",NA,NA,NA,NA,NA,1.43673200871999,"87054",NA,"7785",0,"Do Nothing","2006","MONIT2"
"3615","1189","0","2","STS","OH_022-02","Morgantown07a","38BIUx1","N/A","OH_022","OH_022-02","OH","2007","Btk",1189,"864",NA,NA,NA,NA,NA,4.81249254078191,"138934",NA,"7739",2.46,"Delimit","2006","ACTION"
"3616","460","0","2","STS","OH_136-01","Enon07","38BIUx1","N/A","OH_136","OH_136-01","OH","2007","Btk",460,"218",NA,NA,NA,NA,NA,1.86199281299882,"125463",NA,NA,NA,NA,NA,NA
"3617","252","0","2","STS","OH_100-02","Rutland07b","38BIUx1","N/A","OH_100",NA,"OH","2007","Btk",252,"168",NA,NA,NA,NA,NA,1.0185169952587,"91557",NA,"7785",0,"Do Nothing","2006","MONIT2"
"3618","377","5","2","STS","WI_190-01","Bayfield 6","24BIUx2","1","WI_190",NA,"WI","2007","Btk",375,"331",NA,NA,NA,NA,NA,1.52709548923969,"-56558",NA,"7545",1.14,"Independent Action","2006","ACTION"
"3619","2698","2","2","STS","WI_185-01","Iowa 7","24BIUx2","0","WI_185",NA,"WI","2007","Btk",2600,"1834",NA,NA,NA,NA,NA,10.9188156253452,"-29902",NA,"2940",1.31,"Independent Action","2006","STATE"
"3620","652","2","1","STS","WI_185-02","Iowa 6","6g","0","WI_185",NA,"WI","2007","MD",600,"405",NA,NA,NA,NA,NA,2.6399877996508,"-25738",NA,"2940",1.31,"Independent Action","2006","STATE"
"3621","2233","0","1","STS","WI_209-01","Iowa 3","6g","0","WI_209",NA,"WI","2007","MD",1700,"1208",NA,NA,NA,NA,NA,9.03712994591761,"-43619",NA,"3139",1.06,"Independent Action","2006","ACTION"
"3622","378","0","1","STS","WI_502-01","Iowa 2","6g","0","WI_502",NA,"WI","2007","MD",300,"189",NA,NA,NA,NA,NA,1.53078333895595,"-48899",NA,NA,NA,NA,NA,NA
"3623","2806","5","1","STS","VA_047-02","Whitmell MD","6g","N/A","VA_047",NA,"VA","2007","MD",2500,"1409",NA,NA,NA,NA,NA,11.3549375043279,"4398",NA,NA,NA,NA,NA,NA
"3624","1456","5","1","STS","VA_048-01","Mount Hermon","6g","N/A","VA_048",NA,"VA","2007","MD",1350,"704",NA,NA,NA,NA,NA,5.89100611782226,"4910",NA,NA,NA,NA,NA,NA
"3625","4382","5","1","STS","VA_053-01","Virgilina","15g","N/A","VA_053",NA,"VA","2007","MD",4200,"2773",NA,NA,NA,NA,NA,17.7332248017621,"202",NA,"7741",12.68,"Treat","2006","ACTION"
"3626","206","3","2","STS","IN_046-01","Wakarusa 07","25BIUx2","2-10","IN_046",NA,"IN","2007","Btk",206,"99",NA,NA,NA,NA,NA,0.832518343030936,"-19323",NA,"7514",2.54,"Delimit","2006","ACTION"
"3627","34","0","4","Ground","IN_559-01","ERADICOTE","1oz","N/A","IN_559",NA,"IN","2007","Dim",0,"0",NA,NA,NA,NA,NA,0.138350310045557,"-7028",NA,NA,NA,NA,NA,NA
"3628","5","2","4","Ground","IN_047-01","SUN OIL 2","1oz","1","IN_047",NA,"IN","2007","Dim",0,"1",NA,NA,NA,NA,NA,0.018462557497454,"-29355",NA,"2927",0.91,"Do Nothing","2006","MONIT1"
"3629","1623","4","2","STS","WI_170-01","Iowa 8","24BIUx2","0","WI_170",NA,"WI","2007","Btk",1500,"902",NA,NA,NA,NA,NA,6.56847577975213,"-23055",NA,NA,NA,NA,NA,NA
"3630","711","2","2","Eradication","WI_197-01","Burnett 1","24BIUx2","11-100","WI_197",NA,"WI","2007","Btk",635,"547",NA,NA,NA,NA,NA,2.87570026384414,"82475",NA,"7401",1.01,"Independent Action","2006","ACTION"
"3631","2046","4","2","STS","WI_038-01","Clark 2","24BIUx2","0","WI_038",NA,"WI","2007","Btk",1900,"1510",NA,NA,NA,NA,NA,8.27862333472296,"-58519",NA,NA,NA,NA,NA,NA
"3632","762","0","1","STS","WI_077-01","Clark 4","6g","0","WI_077",NA,"WI","2007","MD",550,"270",NA,NA,NA,NA,NA,3.0818555173258,"-76568",NA,"7803",0,"Do Nothing","2006","MONIT1"
"3633","1078","1","1","STS","WI_078-01","Clark 6","6g","0","WI_078",NA,"WI","2007","MD",300,"171",NA,NA,NA,NA,NA,4.36156080991662,"-87767",NA,"3248",0,"Do Nothing","2006","MONIT1"
"3634","435","4","2","STS","WI_166-01","Chippewa 1","24BIUx2","11-100","WI_166",NA,"WI","2007","Btk",375,"244",NA,NA,NA,NA,NA,1.76046532719024,"-35",NA,NA,NA,NA,NA,NA
"3635","1384","3","2","STS","WI_158-01","Rusk 1","24BIUx2","0","WI_158",NA,"WI","2007","Btk",1300,"908",NA,NA,NA,NA,NA,5.60233996023589,"17324",NA,"7187",2.02,"Do Nothing","2006","ACTION"
"3636","786","3","1","STS","WI_180-01","Ashland 1","6g","0","WI_180",NA,"WI","2007","MD",700,"579",NA,NA,NA,NA,NA,3.18095905699684,"-25393",NA,"2569",1.34,"Independent Action","2006","STATE"
"3637","1659","4","2","STS","WI_183-01","Ashland 2","24BIUx2","2-10","WI_183",NA,"WI","2007","Btk",1660,"1444",NA,NA,NA,NA,NA,6.71285756059479,"-54866",NA,"6280",1.26,"Independent Action","2006","STATE"
"3638","575","4","2","STS","WI_099-01","Bayfield 2","24BIUx2","0","WI_099",NA,"WI","2007","Btk",575,"507",NA,NA,NA,NA,NA,2.32526645025028,"-39128",NA,"3137",3.43,"Delimit","2006","ACTION"
"3639","8623","3","1","STS","WI_203-01","Bayfield 4","15g","1","WI_203",NA,"WI","2007","MD",8500,"7504",NA,NA,NA,NA,NA,34.8939454622112,"-53226",NA,"2779",1.06,"Independent Action","2006","ACTION"
"3640","1804","4","2","STS","WI_168-01","Iowa 10","24BIUx2","1","WI_168",NA,"WI","2007","Btk",1550,"960",NA,NA,NA,NA,NA,7.29867671533684,"-17549",NA,"7315",2.74,"Delimit","2006","MONIT1"
"3641","827","2","1","STS","WI_185-03","Iowa 5","6g","0","WI_185",NA,"WI","2007","MD",770,"478",NA,NA,NA,NA,NA,3.34684605421731,"-26002",NA,"2940",1.31,"Independent Action","2006","STATE"
"3642","165","3","1","STS","WI_080-01","Iowa 4","6g","0","WI_080",NA,"WI","2007","MD",50,"36",NA,NA,NA,NA,NA,0.668594374272623,"-17878",NA,NA,NA,NA,NA,NA
"3643","318","2","1","STS","WI_098-01","Eau Claire 1","6g","0","WI_098",NA,"WI","2007","MD",150,"48",NA,NA,NA,NA,NA,1.28689616767902,"-12515",NA,"7802",3.39,"Delimit","2006","ACTION"
"3644","285","2","1","STS","WI_132-01","Grant 1","6g","0","WI_132",NA,"WI","2007","MD",200,"146",NA,NA,NA,NA,NA,1.15505758180931,"-7337",NA,NA,NA,NA,NA,NA
"3645","467","2","1","STS","WI_167-01","Grant 2","6g","0","WI_167",NA,"WI","2007","MD",400,"268",NA,NA,NA,NA,NA,1.89022453292572,"-10294",NA,"7690",2.42,"Delimit","2006","MONIT1"
"3646","477","3","1","STS","WI_104-01","Richland 1","6g","2-10","WI_104",NA,"WI","2007","MD",450,"332",NA,NA,NA,NA,NA,1.93004821830891,"-27642",NA,"7465",1.26,"Do Nothing","2006","ACTION"
"3647","3968","2","2","STS","WI_105-01","Richland 2","24BIUx2","11-100","WI_105",NA,"WI","2007","Btk",3500,"2127",NA,NA,NA,NA,NA,16.0571188160931,"-33969",NA,NA,NA,NA,NA,NA
"3648","1842","2","1","STS","WI_105-02","Richland 3","6g","0","WI_105",NA,"WI","2007","MD",1500,"914",NA,NA,NA,NA,NA,7.455051111889,"-38171",NA,NA,NA,NA,NA,NA
"3649","493","0","2","STS","WI_176-01","Green 1","24BIUx2","11-100","WI_176",NA,"WI","2007","Btk",250,"102",NA,NA,NA,NA,NA,1.99355940099832,"-41118",NA,"2570",1.33,"Independent Action","2006","STATE"
"3650","2523","0","2","STS","WI_177-01","Green 2","24BIUx2","11-100","WI_177",NA,"WI","2007","Btk",1000,"380",NA,NA,NA,NA,NA,10.2099382105028,"-36724",NA,"7701",1.26,"Independent Action","2006","STATE"
"3651","397","0","2","STS","WI_087-01","Green 6","24BIUx2","0","WI_087",NA,"WI","2007","Btk",300,"201",NA,NA,NA,NA,NA,1.60481837138645,"-25775",NA,"6621",6,"Delimit","2006","MONIT1"
"3652","1773","0","1","STS","VA_178-01","Hillsville","15W","N/A","VA_178",NA,"VA","2007","MD",1590,"1015",NA,NA,NA,NA,NA,7.17554343603231,"-32353",NA,"6605",2.32,"Delimit","2006","ACTION"
"3653","5431","3","1","STS","VA_144-01","Meadows of Dan","6g","N/A","VA_144",NA,"VA","2007","MD",5200,"3615",NA,NA,NA,NA,NA,21.9780773620734,"-11520",NA,NA,NA,NA,NA,NA
"3654","2405","5","1","STS","VA_163-01","Laurel Fork","15g","N/A","VA_163",NA,"VA","2007","MD",2350,"1313",NA,NA,NA,NA,NA,9.7338731938397,"-11095",NA,"7717",1.76,"Do Nothing","2006","ACTION"
"3655","2254","4","1","STS","IN_062-06","Crestwood MD","6g","N/A","IN_062",NA,"IN","2007","MD",2150,"1799",NA,NA,NA,NA,NA,9.11994025717814,"-8925",NA,NA,NA,NA,NA,NA
"3656","959","0","2","Suppression","VA_503-03","Fork Ridge","25BIUx2","N/A","VA_503",NA,"VA","2007","Btk",958,"729",NA,NA,NA,NA,NA,3.88239520444335,"-88353",NA,NA,NA,NA,NA,NA
"3657","293","0","2","Suppression","VA_503-02","Olean A","25BIUx2","N/A","VA_503",NA,"VA","2007","Btk",293,"223",NA,NA,NA,NA,NA,1.18493981201236,"-87182",NA,NA,NA,NA,NA,NA
"3658","849","0","2","Suppression","VA_503-05","Olean B","25BIUx2","N/A","VA_503",NA,"VA","2007","Btk",849,"647",NA,NA,NA,NA,NA,3.4357191168857,"-89354",NA,NA,NA,NA,NA,NA
"3659","296","0","2","Suppression","VA_503-01","Big Mtn B","25BIUx2","N/A","VA_503",NA,"VA","2007","Btk",296,"226",NA,NA,NA,NA,NA,1.19751821312959,"-92516",NA,NA,NA,NA,NA,NA
"3660","823","0","2","Suppression","VA_503-04","Nettle Hollow A","25BIUx2","N/A","VA_503",NA,"VA","2007","Btk",823,"616",NA,NA,NA,NA,NA,3.33218582329225,"-92722",NA,NA,NA,NA,NA,NA
"3661","309","0","2","Suppression","VA_503-06","Rocky Mountain","25BIUx2","N/A","VA_503",NA,"VA","2007","Btk",308,"229",NA,NA,NA,NA,NA,1.24877936143481,"-94095",NA,NA,NA,NA,NA,NA
"3662","926","0","2","STS","IN_216-01","Goshen 07","25BIUx2","2-10","IN_216",NA,"IN","2007","Btk",961,"737",NA,NA,NA,NA,NA,3.7460393143816,"-29918",NA,NA,NA,NA,NA,NA
"3663","62","0","1","STS","VA_504-04","SP2","6g","N/A","VA_504","SPLAT","VA","2007","MD",62,"48",NA,NA,NA,NA,NA,0.250104319620217,"-148359",NA,NA,NA,NA,NA,NA
"3664","62","0","1","STS","VA_504-02","SP1","6g","N/A","VA_504","SPLAT","VA","2007","MD",62,"47",NA,NA,NA,NA,NA,0.249717119655842,"-151506",NA,NA,NA,NA,NA,NA
"3665","9","0","2","STS","OH_041-06","WestJefferson07e","25BIUx2","N/A","OH_041","two swaths, added after del MD block","OH","2007","Btk",9,"2",NA,NA,NA,NA,NA,0.03613253972308,"85173",NA,"7573",3.78,"Delimit","2006","STATE"
"3666","96","0","4","STS","OH_062-02","Xenia07","1oz","> 100","OH_062","Changed from Ground to aerial","OH","2007","Dim",96,"57",NA,NA,NA,NA,NA,0.387709115720327,"137106",NA,NA,NA,NA,NA,NA
"3667","42","0","2","STS","OH_041-04","WestJefferson07a","25BIUx2","N/A","OH_041","OH_041-01","OH","2007","Btk",42,"6",NA,NA,NA,NA,NA,0.168550483961757,"79679",NA,"7573",3.78,"Delimit","2006","STATE"
"3668","77","5","2","STS","IN_225-02","Blue Lake 07","25BIUx2","N/A","IN_225",NA,"IN","2007","Btk",77,"35",NA,NA,NA,NA,NA,0.312704277451041,"-25052",NA,NA,NA,NA,NA,NA
"3669","106","0","2","STS","OH_041-02","WestJefferson07b","25BIUx2","N/A","OH_041","OH_041-02","OH","2007","Btk",0,"42",NA,NA,NA,NA,NA,0.428851475268774,"83480",NA,"7573",3.78,"Delimit","2006","STATE"
"3670","4","4","4","Ground","IN_067-01","HOFFMAN","1oz","2-10","IN_067",NA,"IN","2007","Dim",0,"1",NA,NA,NA,NA,NA,0.015790707887173,"13609",NA,NA,NA,NA,NA,NA
"3671","634","0","2","Eradication","OH_049-01","Glendale07","25BIUx2","N/A","OH_049","OH_049-01","OH","2007","Btk",634,"494",NA,NA,NA,NA,NA,2.56416717595354,"193087",NA,"7640",7.34,"Treat","2006","ACTION"
"3672","27","4","2","STS","IN_062-04","Crescent","25BIUx2","11-100","IN_062",NA,"IN","2007","Btk",27,"26",NA,NA,NA,NA,NA,0.110055066203278,"-5143",NA,NA,NA,NA,NA,NA
"3673","2","3","4","Ground","IN_204-01","SUN OIL","1oz","1","IN_204",NA,"IN","2007","Dim",0,"0",NA,NA,NA,NA,NA,0.006531485776482,"-11657",NA,NA,NA,NA,NA,NA
"3674","299","4","2","Eradication","IN_053-02","Nebo","25BIUx2","2-10","IN_053",NA,"IN","2007","Btk",299,NA,NA,NA,NA,NA,NA,1.2100533383661,"92295",NA,NA,NA,NA,NA,NA
"3675","3445","0","1","STS","OH_056-01","Lima07MD","6g","N/A","OH_056","OH_056-01","OH","2007","MD",1200,"1759",NA,NA,NA,NA,NA,13.9406905975181,"66495",NA,NA,NA,NA,NA,NA
"3676","785","0","2","STS","OH_011-01","Jackson07","25BIUx2","N/A","OH_011","OH_011-01","OH","2007","Btk",785,"596",NA,NA,NA,NA,NA,3.17634842046931,"122036",NA,NA,NA,NA,NA,NA
"3677","860","0","2","STS","OH_070-01","West Mansfield07","25BIUx2","N/A","OH_070","OH_070-01","OH","2007","Btk",860,"89",NA,NA,NA,NA,NA,3.48161857806937,"70135",NA,NA,NA,NA,NA,NA
"3678","460","0","2","STS","OH_255-01","Gallipolis07","25BIUx2","N/A","OH_255","OH_255-01","OH","2007","Btk",460,"300",NA,NA,NA,NA,NA,1.86039245512742,"86226",NA,NA,NA,NA,NA,NA
"3679","2","0","4","Ground","IN_558-01","RILEY ROAD 07","1oz","11-100","IN_558",NA,"IN","2007","Dim",0,"0",NA,NA,NA,NA,NA,0.009625726275145,"-17397",NA,NA,NA,NA,NA,NA
"3680","103145","0","1","STS","OH_022-04","Morgantown07MD","6g","N/A","OH_022","OH_022-04","OH","2007","MD",1e+05,"61585",NA,NA,NA,NA,NA,417.414630694444,"137579",NA,"7739",2.46,"Delimit","2006","ACTION"
"3681","589","0","1","STS","OH_169-01","Enon07MD","6g","N/A","OH_169",NA,"OH","2007","MD",589,"361",NA,NA,NA,NA,NA,2.38471400996163,"129728",NA,"7672",1.51,"Do Nothing","2006","ACTION"
"3682","399","0","2","STS","OH_068-01","UrbanaEast07","25BIUx2","N/A","OH_068","OH_068-01","OH","2007","Btk",399,"191",NA,NA,NA,NA,NA,1.61504988661474,"97402",NA,NA,NA,NA,NA,NA
"3683","1541","0","2","STS","OH_092-01","SciotoTrail07","25BIUx2","N/A","OH_092",NA,"OH","2007","Btk",1541,"1161",NA,NA,NA,NA,NA,6.23570559466408,"121637",NA,NA,NA,NA,NA,NA
"3684","62","0","2","Eradication","OH_048-01","Trenton07","25BIUx2","N/A","OH_048","OH_048-01","OH","2007","Btk",62,"47",NA,NA,NA,NA,NA,0.252226008086517,"186392",NA,"7411",2.78,"Delimit","2006","ACTION"
"3685","45","0","2","STS","OH_171-02","CliftonNorth07b","25BIUx2","N/A","OH_171","OH_171-01","OH","2007","Btk",45,"10",NA,NA,NA,NA,NA,0.182694929312022,"122624",NA,NA,NA,NA,NA,NA
"3686","368","0","2","Eradication","OH_079-01","CincinnatiEast07","25BIUx2","N/A","OH_079","OH_079-01","OH","2007","Btk",368,"268",NA,NA,NA,NA,NA,1.48760575581327,"209273",NA,NA,NA,NA,NA,NA
"3687","207","0","2","Eradication","OH_122-01","Addyston07","25BIUx2","N/A","OH_122","OH_122-01","OH","2007","Btk",207,"143",NA,NA,NA,NA,NA,0.839054222751567,"206457",NA,"7801",1.97,"Do Nothing","2006","ACTION"
"3688","193","0","2","Eradication","OH_125-01","CincinnatiWest07","25BIUx2","N/A","OH_125",NA,"OH","2007","Btk",193,"150",NA,NA,NA,NA,NA,0.780026288028802,"206878",NA,"3191",2.39,"Delimit","2006","ACTION"
